Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Channel Partners,France, VTT , Low ,866,250.00,12.00,10392.00,415.68,9976.32,2598.00,7378.32,01/05/2014,5, May ,2014
Government,United States of America, VTT , Low ,349,250.00,350.00,122150.00,4886.00,117264.00,90740.00,26524.00,01/09/2013,9, September ,2013
Government,France, VTT , Low ,2177,250.00,350.00,761950.00,30478.00,731472.00,566020.00,165452.00,01/10/2014,10, October ,2014
Midmarket,Mexico, VTT , Low ,1514,250.00,15.00,22710.00,908.40,21801.60,15140.00,6661.60,01/10/2013,10, October ,2013
Government,Mexico, Amarilla , Low ,1865,260.00,350.00,652750.00,26110.00,626640.00,484900.00,141740.00,01/02/2014,2, February ,2014
Enterprise,Mexico, Amarilla , Low ,1074,260.00,125.00,134250.00,5370.00,128880.00,128880.00,0.00,01/04/2014,4, April ,2014
Government,Germany, Amarilla , Low ,1907,260.00,350.00,667450.00,26698.00,640752.00,495820.00,144932.00,01/09/2014,9, September ,2014
Midmarket,United States of America, Amarilla , Low ,671,260.00,15.00,10065.00,402.60,9662.40,6710.00,2952.40,01/10/2013,10, October ,2013
Government,Canada, Amarilla , Low ,1778,260.00,350.00,622300.00,24892.00,597408.00,462280.00,135128.00,01/12/2013,12, December ,2013
Government,Germany, Montana , Medium ,1159,5.00,7.00,8113.00,405.65,7707.35,5795.00,1912.35,01/10/2013,10, October ,2013
Government,Germany, Paseo , Medium ,1372,10.00,7.00,9604.00,480.20,9123.80,6860.00,2263.80,01/01/2014,1, January ,2014
Government,Canada, Paseo , Medium ,2349,10.00,7.00,16443.00,822.15,15620.85,11745.00,3875.85,01/09/2013,9, September ,2013
Government,Mexico, Paseo , Medium ,2689,10.00,7.00,18823.00,941.15,17881.85,13445.00,4436.85,01/10/2014,10, October ,2014
Channel Partners,Canada, Paseo , Medium ,2431,10.00,12.00,29172.00,1458.60,27713.40,7293.00,20420.40,01/12/2014,12, December ,2014
Channel Partners,Canada, Velo , Medium ,2431,120.00,12.00,29172.00,1458.60,27713.40,7293.00,20420.40,01/12/2014,12, December ,2014
Government,Mexico, VTT , Medium ,2689,250.00,7.00,18823.00,941.15,17881.85,13445.00,4436.85,01/10/2014,10, October ,2014
Government,Mexico, Amarilla , Medium ,1683,260.00,7.00,11781.00,589.05,11191.95,8415.00,2776.95,01/07/2014,7, July ,2014
Channel Partners,Mexico, Amarilla , Medium ,1123,260.00,12.00,13476.00,673.80,12802.20,3369.00,9433.20,01/08/2014,8, August ,2014
Government,Germany, Amarilla , Medium ,1159,260.00,7.00,8113.00,405.65,7707.35,5795.00,1912.35,01/10/2013,10, October ,2013
Channel Partners,France, Carretera , Medium ,1865,3.00,12.00,22380.00,1119.00,21261.00,5595.00,15666.00,01/02/2014,2, February ,2014
Channel Partners,Germany, Carretera , Medium ,1116,3.00,12.00,13392.00,669.60,12722.40,3348.00,9374.40,01/02/2014,2, February ,2014
Government,France, Carretera , Medium ,1563,3.00,20.00,31260.00,1563.00,29697.00,15630.00,14067.00,01/05/2014,5, May ,2014
Small Business,United States of America, Carretera , Medium ,991,3.00,300.00,297300.00,14865.00,282435.00,247750.00,34685.00,01/06/2014,6, June ,2014
Government,Germany, Carretera , Medium ,1016,3.00,7.00,7112.00,355.60,6756.40,5080.00,1676.40,01/11/2013,11, November ,2013
Midmarket,Mexico, Carretera , Medium ,2791,3.00,15.00,41865.00,2093.25,39771.75,27910.00,11861.75,01/11/2014,11, November ,2014
Government,United States of America, Carretera , Medium ,570,3.00,7.00,3990.00,199.50,3790.50,2850.00,940.50,01/12/2014,12, December ,2014
Government,France, Carretera , Medium ,2487,3.00,7.00,17409.00,870.45,16538.55,12435.00,4103.55,01/12/2014,12, December ,2014
Government,France, Montana , Medium ,1384.5,5.00,350.00,484575.00,24228.75,460346.25,359970.00,100376.25,01/01/2014,1, January ,2014
Enterprise,United States of America, Montana , Medium ,3627,5.00,125.00,453375.00,22668.75,430706.25,435240.00,-4533.75,01/07/2014,7, July ,2014
Government,Mexico, Montana , Medium ,720,5.00,350.00,252000.00,12600.00,239400.00,187200.00,52200.00,01/09/2013,9, September ,2013
Channel Partners,Germany, Montana , Medium ,2342,5.00,12.00,28104.00,1405.20,26698.80,7026.00,19672.80,01/11/2014,11, November ,2014
Small Business,Mexico, Montana , Medium ,1100,5.00,300.00,330000.00,16500.00,313500.00,275000.00,38500.00,01/12/2013,12, December ,2013
Government,France, Paseo , Medium ,1303,10.00,20.00,26060.00,1303.00,24757.00,13030.00,11727.00,01/02/2014,2, February ,2014
Enterprise,United States of America, Paseo , Medium ,2992,10.00,125.00,374000.00,18700.00,355300.00,359040.00,-3740.00,01/03/2014,3, March ,2014
Enterprise,France, Paseo , Medium ,2385,10.00,125.00,298125.00,14906.25,283218.75,286200.00,-2981.25,01/03/2014,3, March ,2014
Small Business,Mexico, Paseo , Medium ,1607,10.00,300.00,482100.00,24105.00,457995.00,401750.00,56245.00,01/04/2014,4, April ,2014
Government,United States of America, Paseo , Medium ,2327,10.00,7.00,16289.00,814.45,15474.55,11635.00,3839.55,01/05/2014,5, May ,2014
Small Business,United States of America, Paseo , Medium ,991,10.00,300.00,297300.00,14865.00,282435.00,247750.00,34685.00,01/06/2014,6, June ,2014
Government,United States of America, Paseo , Medium ,602,10.00,350.00,210700.00,10535.00,200165.00,156520.00,43645.00,01/06/2014,6, June ,2014
Midmarket,France, Paseo , Medium ,2620,10.00,15.00,39300.00,1965.00,37335.00,26200.00,11135.00,01/09/2014,9, September ,2014
Government,Canada, Paseo , Medium ,1228,10.00,350.00,429800.00,21490.00,408310.00,319280.00,89030.00,01/10/2013,10, October ,2013
Government,Canada, Paseo , Medium ,1389,10.00,20.00,27780.00,1389.00,26391.00,13890.00,12501.00,01/10/2013,10, October ,2013
Enterprise,United States of America, Paseo , Medium ,861,10.00,125.00,107625.00,5381.25,102243.75,103320.00,-1076.25,01/10/2014,10, October ,2014
Enterprise,France, Paseo , Medium ,704,10.00,125.00,88000.00,4400.00,83600.00,84480.00,-880.00,01/10/2013,10, October ,2013
Government,Canada, Paseo , Medium ,1802,10.00,20.00,36040.00,1802.00,34238.00,18020.00,16218.00,01/12/2013,12, December ,2013
Government,United States of America, Paseo , Medium ,2663,10.00,20.00,53260.00,2663.00,50597.00,26630.00,23967.00,01/12/2014,12, December ,2014
Government,France, Paseo , Medium ,2136,10.00,7.00,14952.00,747.60,14204.40,10680.00,3524.40,01/12/2013,12, December ,2013
Midmarket,Germany, Paseo , Medium ,2116,10.00,15.00,31740.00,1587.00,30153.00,21160.00,8993.00,01/12/2013,12, December ,2013
Midmarket,United States of America, Velo , Medium ,555,120.00,15.00,8325.00,416.25,7908.75,5550.00,2358.75,01/01/2014,1, January ,2014
Midmarket,Mexico, Velo , Medium ,2861,120.00,15.00,42915.00,2145.75,40769.25,28610.00,12159.25,01/01/2014,1, January ,2014
Enterprise,Germany, Velo , Medium ,807,120.00,125.00,100875.00,5043.75,95831.25,96840.00,-1008.75,01/02/2014,2, February ,2014
Government,United States of America, Velo , Medium ,602,120.00,350.00,210700.00,10535.00,200165.00,156520.00,43645.00,01/06/2014,6, June ,2014
Government,United States of America, Velo , Medium ,2832,120.00,20.00,56640.00,2832.00,53808.00,28320.00,25488.00,01/08/2014,8, August ,2014
Government,France, Velo , Medium ,1579,120.00,20.00,31580.00,1579.00,30001.00,15790.00,14211.00,01/08/2014,8, August ,2014
Enterprise,United States of America, Velo , Medium ,861,120.00,125.00,107625.00,5381.25,102243.75,103320.00,-1076.25,01/10/2014,10, October ,2014
Enterprise,France, Velo , Medium ,704,120.00,125.00,88000.00,4400.00,83600.00,84480.00,-880.00,01/10/2013,10, October ,2013
Government,France, Velo , Medium ,1033,120.00,20.00,20660.00,1033.00,19627.00,10330.00,9297.00,01/12/2013,12, December ,2013
Small Business,Germany, Velo , Medium ,1250,120.00,300.00,375000.00,18750.00,356250.00,312500.00,43750.00,01/12/2014,12, December ,2014
Government,Canada, VTT , Medium ,1389,250.00,20.00,27780.00,1389.00,26391.00,13890.00,12501.00,01/10/2013,10, October ,2013
Government,United States of America, VTT , Medium ,1265,250.00,20.00,25300.00,1265.00,24035.00,12650.00,11385.00,01/11/2013,11, November ,2013
Government,Germany, VTT , Medium ,2297,250.00,20.00,45940.00,2297.00,43643.00,22970.00,20673.00,01/11/2013,11, November ,2013
Government,United States of America, VTT , Medium ,2663,250.00,20.00,53260.00,2663.00,50597.00,26630.00,23967.00,01/12/2014,12, December ,2014
Government,United States of America, VTT , Medium ,570,250.00,7.00,3990.00,199.50,3790.50,2850.00,940.50,01/12/2014,12, December ,2014
Government,France, VTT , Medium ,2487,250.00,7.00,17409.00,870.45,16538.55,12435.00,4103.55,01/12/2014,12, December ,2014
Government,Germany, Amarilla , Medium ,1350,260.00,350.00,472500.00,23625.00,448875.00,351000.00,97875.00,01/02/2014,2, February ,2014
Government,Canada, Amarilla , Medium ,552,260.00,350.00,193200.00,9660.00,183540.00,143520.00,40020.00,01/08/2014,8, August ,2014
Government,Canada, Amarilla , Medium ,1228,260.00,350.00,429800.00,21490.00,408310.00,319280.00,89030.00,01/10/2013,10, October ,2013
Small Business,Germany, Amarilla , Medium ,1250,260.00,300.00,375000.00,18750.00,356250.00,312500.00,43750.00,01/12/2014,12, December ,2014
Midmarket,France, Paseo , Medium ,3801,10.00,15.00,57015.00,3420.90,53594.10,38010.00,15584.10,01/04/2014,4, April ,2014
Government,United States of America, Carretera , Medium ,1117.5,3.00,20.00,22350.00,1341.00,21009.00,11175.00,9834.00,01/01/2014,1, January ,2014
Midmarket,Canada, Carretera , Medium ,2844,3.00,15.00,42660.00,2559.60,40100.40,28440.00,11660.40,01/06/2014,6, June ,2014
Channel Partners,Mexico, Carretera , Medium ,562,3.00,12.00,6744.00,404.64,6339.36,1686.00,4653.36,01/09/2014,9, September ,2014
Channel Partners,Canada, Carretera , Medium ,2299,3.00,12.00,27588.00,1655.28,25932.72,6897.00,19035.72,01/10/2013,10, October ,2013
Midmarket,United States of America, Carretera , Medium ,2030,3.00,15.00,30450.00,1827.00,28623.00,20300.00,8323.00,01/11/2014,11, November ,2014
Government,United States of America, Carretera , Medium ,263,3.00,7.00,1841.00,110.46,1730.54,1315.00,415.54,01/11/2013,11, November ,2013
Enterprise,Germany, Carretera , Medium ,887,3.00,125.00,110875.00,6652.50,104222.50,106440.00,-2217.50,01/12/2013,12, December ,2013
Government,Mexico, Montana , Medium ,980,5.00,350.00,343000.00,20580.00,322420.00,254800.00,67620.00,01/04/2014,4, April ,2014
Government,Germany, Montana , Medium ,1460,5.00,350.00,511000.00,30660.00,480340.00,379600.00,100740.00,01/05/2014,5, May ,2014
Government,France, Montana , Medium ,1403,5.00,7.00,9821.00,589.26,9231.74,7015.00,2216.74,01/10/2013,10, October ,2013
Channel Partners,United States of America, Montana , Medium ,2723,5.00,12.00,32676.00,1960.56,30715.44,8169.00,22546.44,01/11/2014,11, November ,2014
Government,France, Paseo , Medium ,1496,10.00,350.00,523600.00,31416.00,492184.00,388960.00,103224.00,01/06/2014,6, June ,2014
Channel Partners,Canada, Paseo , Medium ,2299,10.00,12.00,27588.00,1655.28,25932.72,6897.00,19035.72,01/10/2013,10, October ,2013
Government,United States of America, Paseo , Medium ,727,10.00,350.00,254450.00,15267.00,239183.00,189020.00,50163.00,01/10/2013,10, October ,2013
Enterprise,Canada, Velo , Medium ,952,120.00,125.00,119000.00,7140.00,111860.00,114240.00,-2380.00,01/02/2014,2, February ,2014
Enterprise,United States of America, Velo , Medium ,2755,120.00,125.00,344375.00,20662.50,323712.50,330600.00,-6887.50,01/02/2014,2, February ,2014
Midmarket,Germany, Velo , Medium ,1530,120.00,15.00,22950.00,1377.00,21573.00,15300.00,6273.00,01/05/2014,5, May ,2014
Government,France, Velo , Medium ,1496,120.00,350.00,523600.00,31416.00,492184.00,388960.00,103224.00,01/06/2014,6, June ,2014
Government,Mexico, Velo , Medium ,1498,120.00,7.00,10486.00,629.16,9856.84,7490.00,2366.84,01/06/2014,6, June ,2014
Small Business,France, Velo , Medium ,1221,120.00,300.00,366300.00,21978.00,344322.00,305250.00,39072.00,01/10/2013,10, October ,2013
Government,France, Velo , Medium ,2076,120.00,350.00,726600.00,43596.00,683004.00,539760.00,143244.00,01/10/2013,10, October ,2013
Midmarket,Canada, VTT , Medium ,2844,250.00,15.00,42660.00,2559.60,40100.40,28440.00,11660.40,01/06/2014,6, June ,2014
Government,Mexico, VTT , Medium ,1498,250.00,7.00,10486.00,629.16,9856.84,7490.00,2366.84,01/06/2014,6, June ,2014
Small Business,France, VTT , Medium ,1221,250.00,300.00,366300.00,21978.00,344322.00,305250.00,39072.00,01/10/2013,10, October ,2013
Government,Mexico, VTT , Medium ,1123,250.00,20.00,22460.00,1347.60,21112.40,11230.00,9882.40,01/11/2013,11, November ,2013
Small Business,Canada, VTT , Medium ,2436,250.00,300.00,730800.00,43848.00,686952.00,609000.00,77952.00,01/12/2013,12, December ,2013
Enterprise,France, Amarilla , Medium ,1987.5,260.00,125.00,248437.50,14906.25,233531.25,238500.00,-4968.75,01/01/2014,1, January ,2014
Government,Mexico, Amarilla , Medium ,1679,260.00,350.00,587650.00,35259.00,552391.00,436540.00,115851.00,01/09/2014,9, September ,2014
Government,United States of America, Amarilla , Medium ,727,260.00,350.00,254450.00,15267.00,239183.00,189020.00,50163.00,01/10/2013,10, October ,2013
Government,France, Amarilla , Medium ,1403,260.00,7.00,9821.00,589.26,9231.74,7015.00,2216.74,01/10/2013,10, October ,2013
Government,France, Amarilla , Medium ,2076,260.00,350.00,726600.00,43596.00,683004.00,539760.00,143244.00,01/10/2013,10, October ,2013
Government,France, Montana , Medium ,1757,5.00,20.00,35140.00,2108.40,33031.60,17570.00,15461.60,01/10/2013,10, October ,2013
Midmarket,United States of America, Paseo , Medium ,2198,10.00,15.00,32970.00,1978.20,30991.80,21980.00,9011.80,01/08/2014,8, August ,2014
Midmarket,Germany, Paseo , Medium ,1743,10.00,15.00,26145.00,1568.70,24576.30,17430.00,7146.30,01/08/2014,8, August ,2014
Midmarket,United States of America, Paseo , Medium ,1153,10.00,15.00,17295.00,1037.70,16257.30,11530.00,4727.30,01/10/2014,10, October ,2014
Government,France, Paseo , Medium ,1757,10.00,20.00,35140.00,2108.40,33031.60,17570.00,15461.60,01/10/2013,10, October ,2013
Government,Germany, Velo , Medium ,1001,120.00,20.00,20020.00,1201.20,18818.80,10010.00,8808.80,01/08/2014,8, August ,2014
Government,Mexico, Velo , Medium ,1333,120.00,7.00,9331.00,559.86,8771.14,6665.00,2106.14,01/11/2014,11, November ,2014
Midmarket,United States of America, VTT , Medium ,1153,250.00,15.00,17295.00,1037.70,16257.30,11530.00,4727.30,01/10/2014,10, October ,2014
Channel Partners,Mexico, Carretera , Medium ,727,3.00,12.00,8724.00,610.68,8113.32,2181.00,5932.32,01/02/2014,2, February ,2014
Channel Partners,Canada, Carretera , Medium ,1884,3.00,12.00,22608.00,1582.56,21025.44,5652.00,15373.44,01/08/2014,8, August ,2014
Government,Mexico, Carretera , Medium ,1834,3.00,20.00,36680.00,2567.60,34112.40,18340.00,15772.40,01/09/2013,9, September ,2013
Channel Partners,Mexico, Montana , Medium ,2340,5.00,12.00,28080.00,1965.60,26114.40,7020.00,19094.40,01/01/2014,1, January ,2014
Channel Partners,France, Montana , Medium ,2342,5.00,12.00,28104.00,1967.28,26136.72,7026.00,19110.72,01/11/2014,11, November ,2014
Government,France, Paseo , Medium ,1031,10.00,7.00,7217.00,505.19,6711.81,5155.00,1556.81,01/09/2013,9, September ,2013
Midmarket,Canada, Velo , Medium ,1262,120.00,15.00,18930.00,1325.10,17604.90,12620.00,4984.90,01/05/2014,5, May ,2014
Government,Canada, Velo , Medium ,1135,120.00,7.00,7945.00,556.15,7388.85,5675.00,1713.85,01/06/2014,6, June ,2014
Government,United States of America, Velo , Medium ,547,120.00,7.00,3829.00,268.03,3560.97,2735.00,825.97,01/11/2014,11, November ,2014
Government,Canada, Velo , Medium ,1582,120.00,7.00,11074.00,775.18,10298.82,7910.00,2388.82,01/12/2014,12, December ,2014
Channel Partners,France, VTT , Medium ,1738.5,250.00,12.00,20862.00,1460.34,19401.66,5215.50,14186.16,01/04/2014,4, April ,2014
Channel Partners,Germany, VTT , Medium ,2215,250.00,12.00,26580.00,1860.60,24719.40,6645.00,18074.40,01/09/2013,9, September ,2013
Government,Canada, VTT , Medium ,1582,250.00,7.00,11074.00,775.18,10298.82,7910.00,2388.82,01/12/2014,12, December ,2014
Government,Canada, Amarilla , Medium ,1135,260.00,7.00,7945.00,556.15,7388.85,5675.00,1713.85,01/06/2014,6, June ,2014
Government,United States of America, Carretera , Medium ,1761,3.00,350.00,616350.00,43144.50,573205.50,457860.00,115345.50,01/03/2014,3, March ,2014
Small Business,France, Carretera , Medium ,448,3.00,300.00,134400.00,9408.00,124992.00,112000.00,12992.00,01/06/2014,6, June ,2014
Small Business,France, Carretera , Medium ,2181,3.00,300.00,654300.00,45801.00,608499.00,545250.00,63249.00,01/10/2014,10, October ,2014
Government,France, Montana , Medium ,1976,5.00,20.00,39520.00,2766.40,36753.60,19760.00,16993.60,01/10/2014,10, October ,2014
Small Business,France, Montana , Medium ,2181,5.00,300.00,654300.00,45801.00,608499.00,545250.00,63249.00,01/10/2014,10, October ,2014
Enterprise,Germany, Montana , Medium ,2500,5.00,125.00,312500.00,21875.00,290625.00,300000.00,-9375.00,01/11/2013,11, November ,2013
Small Business,Canada, Paseo , Medium ,1702,10.00,300.00,510600.00,35742.00,474858.00,425500.00,49358.00,01/05/2014,5, May ,2014
Small Business,France, Paseo , Medium ,448,10.00,300.00,134400.00,9408.00,124992.00,112000.00,12992.00,01/06/2014,6, June ,2014
Enterprise,Germany, Paseo , Medium ,3513,10.00,125.00,439125.00,30738.75,408386.25,421560.00,-13173.75,01/07/2014,7, July ,2014
Midmarket,France, Paseo , Medium ,2101,10.00,15.00,31515.00,2206.05,29308.95,21010.00,8298.95,01/08/2014,8, August ,2014
Midmarket,United States of America, Paseo , Medium ,2931,10.00,15.00,43965.00,3077.55,40887.45,29310.00,11577.45,01/09/2013,9, September ,2013
Government,France, Paseo , Medium ,1535,10.00,20.00,30700.00,2149.00,28551.00,15350.00,13201.00,01/09/2014,9, September ,2014
Small Business,Germany, Paseo , Medium ,1123,10.00,300.00,336900.00,23583.00,313317.00,280750.00,32567.00,01/09/2013,9, September ,2013
Small Business,Canada, Paseo , Medium ,1404,10.00,300.00,421200.00,29484.00,391716.00,351000.00,40716.00,01/11/2013,11, November ,2013
Channel Partners,Mexico, Paseo , Medium ,2763,10.00,12.00,33156.00,2320.92,30835.08,8289.00,22546.08,01/11/2013,11, November ,2013
Government,Germany, Paseo , Medium ,2125,10.00,7.00,14875.00,1041.25,13833.75,10625.00,3208.75,01/12/2013,12, December ,2013
Small Business,France, Velo , Medium ,1659,120.00,300.00,497700.00,34839.00,462861.00,414750.00,48111.00,01/07/2014,7, July ,2014
Government,Mexico, Velo , Medium ,609,120.00,20.00,12180.00,852.60,11327.40,6090.00,5237.40,01/08/2014,8, August ,2014
Enterprise,Germany, Velo , Medium ,2087,120.00,125.00,260875.00,18261.25,242613.75,250440.00,-7826.25,01/09/2014,9, September ,2014
Government,France, Velo , Medium ,1976,120.00,20.00,39520.00,2766.40,36753.60,19760.00,16993.60,01/10/2014,10, October ,2014
Government,United States of America, Velo , Medium ,1421,120.00,20.00,28420.00,1989.40,26430.60,14210.00,12220.60,01/12/2013,12, December ,2013
Small Business,United States of America, Velo , Medium ,1372,120.00,300.00,411600.00,28812.00,382788.00,343000.00,39788.00,01/12/2014,12, December ,2014
Government,Germany, Velo , Medium ,588,120.00,20.00,11760.00,823.20,10936.80,5880.00,5056.80,01/12/2013,12, December ,2013
Channel Partners,Canada, VTT , Medium ,3244.5,250.00,12.00,38934.00,2725.38,36208.62,9733.50,26475.12,01/01/2014,1, January ,2014
Small Business,France, VTT , Medium ,959,250.00,300.00,287700.00,20139.00,267561.00,239750.00,27811.00,01/02/2014,2, February ,2014
Small Business,Mexico, VTT , Medium ,2747,250.00,300.00,824100.00,57687.00,766413.00,686750.00,79663.00,01/02/2014,2, February ,2014
Enterprise,Canada, Amarilla , Medium ,1645,260.00,125.00,205625.00,14393.75,191231.25,197400.00,-6168.75,01/05/2014,5, May ,2014
Government,France, Amarilla , Medium ,2876,260.00,350.00,1006600.00,70462.00,936138.00,747760.00,188378.00,01/09/2014,9, September ,2014
Enterprise,Germany, Amarilla , Medium ,994,260.00,125.00,124250.00,8697.50,115552.50,119280.00,-3727.50,01/09/2013,9, September ,2013
Government,Canada, Amarilla , Medium ,1118,260.00,20.00,22360.00,1565.20,20794.80,11180.00,9614.80,01/11/2014,11, November ,2014
Small Business,United States of America, Amarilla , Medium ,1372,260.00,300.00,411600.00,28812.00,382788.00,343000.00,39788.00,01/12/2014,12, December ,2014
Government,Canada, Montana , Medium ,488,5.00,7.00,3416.00,273.28,3142.72,2440.00,702.72,01/02/2014,2, February ,2014
Government,United States of America, Montana , Medium ,1282,5.00,20.00,25640.00,2051.20,23588.80,12820.00,10768.80,01/06/2014,6, June ,2014
Government,Canada, Paseo , Medium ,257,10.00,7.00,1799.00,143.92,1655.08,1285.00,370.08,01/05/2014,5, May ,2014
Government,United States of America, Amarilla , Medium ,1282,260.00,20.00,25640.00,2051.20,23588.80,12820.00,10768.80,01/06/2014,6, June ,2014
Enterprise,Mexico, Carretera , Medium ,1540,3.00,125.00,192500.00,15400.00,177100.00,184800.00,-7700.00,01/08/2014,8, August ,2014
Midmarket,France, Carretera , Medium ,490,3.00,15.00,7350.00,588.00,6762.00,4900.00,1862.00,01/11/2014,11, November ,2014
Government,Mexico, Carretera , Medium ,1362,3.00,350.00,476700.00,38136.00,438564.00,354120.00,84444.00,01/12/2014,12, December ,2014
Midmarket,France, Montana , Medium ,2501,5.00,15.00,37515.00,3001.20,34513.80,25010.00,9503.80,01/03/2014,3, March ,2014
Government,Canada, Montana , Medium ,708,5.00,20.00,14160.00,1132.80,13027.20,7080.00,5947.20,01/06/2014,6, June ,2014
Government,Germany, Montana , Medium ,645,5.00,20.00,12900.00,1032.00,11868.00,6450.00,5418.00,01/07/2014,7, July ,2014
Small Business,France, Montana , Medium ,1562,5.00,300.00,468600.00,37488.00,431112.00,390500.00,40612.00,01/08/2014,8, August ,2014
Small Business,Canada, Montana , Medium ,1283,5.00,300.00,384900.00,30792.00,354108.00,320750.00,33358.00,01/09/2013,9, September ,2013
Midmarket,Germany, Montana , Medium ,711,5.00,15.00,10665.00,853.20,9811.80,7110.00,2701.80,01/12/2014,12, December ,2014
Enterprise,Mexico, Paseo , Medium ,1114,10.00,125.00,139250.00,11140.00,128110.00,133680.00,-5570.00,01/03/2014,3, March ,2014
Government,Germany, Paseo , Medium ,1259,10.00,7.00,8813.00,705.04,8107.96,6295.00,1812.96,01/04/2014,4, April ,2014
Government,Germany, Paseo , Medium ,1095,10.00,7.00,7665.00,613.20,7051.80,5475.00,1576.80,01/05/2014,5, May ,2014
Government,Germany, Paseo , Medium ,1366,10.00,20.00,27320.00,2185.60,25134.40,13660.00,11474.40,01/06/2014,6, June ,2014
Small Business,Mexico, Paseo , Medium ,2460,10.00,300.00,738000.00,59040.00,678960.00,615000.00,63960.00,01/06/2014,6, June ,2014
Government,United States of America, Paseo , Medium ,678,10.00,7.00,4746.00,379.68,4366.32,3390.00,976.32,01/08/2014,8, August ,2014
Government,Germany, Paseo , Medium ,1598,10.00,7.00,11186.00,894.88,10291.12,7990.00,2301.12,01/08/2014,8, August ,2014
Government,Germany, Paseo , Medium ,2409,10.00,7.00,16863.00,1349.04,15513.96,12045.00,3468.96,01/09/2013,9, September ,2013
Government,Germany, Paseo , Medium ,1934,10.00,20.00,38680.00,3094.40,35585.60,19340.00,16245.60,01/09/2014,9, September ,2014
Government,Mexico, Paseo , Medium ,2993,10.00,20.00,59860.00,4788.80,55071.20,29930.00,25141.20,01/09/2014,9, September ,2014
Government,Germany, Paseo , Medium ,2146,10.00,350.00,751100.00,60088.00,691012.00,557960.00,133052.00,01/11/2013,11, November ,2013
Government,Mexico, Paseo , Medium ,1946,10.00,7.00,13622.00,1089.76,12532.24,9730.00,2802.24,01/12/2013,12, December ,2013
Government,Mexico, Paseo , Medium ,1362,10.00,350.00,476700.00,38136.00,438564.00,354120.00,84444.00,01/12/2014,12, December ,2014
Channel Partners,Canada, Velo , Medium ,598,120.00,12.00,7176.00,574.08,6601.92,1794.00,4807.92,01/03/2014,3, March ,2014
Government,United States of America, Velo , Medium ,2907,120.00,7.00,20349.00,1627.92,18721.08,14535.00,4186.08,01/06/2014,6, June ,2014
Government,Germany, Velo , Medium ,2338,120.00,7.00,16366.00,1309.28,15056.72,11690.00,3366.72,01/06/2014,6, June ,2014
Small Business,France, Velo , Medium ,386,120.00,300.00,115800.00,9264.00,106536.00,96500.00,10036.00,01/11/2013,11, November ,2013
Small Business,Mexico, Velo , Medium ,635,120.00,300.00,190500.00,15240.00,175260.00,158750.00,16510.00,01/12/2014,12, December ,2014
Government,France, VTT , Medium ,574.5,250.00,350.00,201075.00,16086.00,184989.00,149370.00,35619.00,01/04/2014,4, April ,2014
Government,Germany, VTT , Medium ,2338,250.00,7.00,16366.00,1309.28,15056.72,11690.00,3366.72,01/06/2014,6, June ,2014
Government,France, VTT , Medium ,381,250.00,350.00,133350.00,10668.00,122682.00,99060.00,23622.00,01/08/2014,8, August ,2014
Government,Germany, VTT , Medium ,422,250.00,350.00,147700.00,11816.00,135884.00,109720.00,26164.00,01/08/2014,8, August ,2014
Small Business,Canada, VTT , Medium ,2134,250.00,300.00,640200.00,51216.00,588984.00,533500.00,55484.00,01/09/2014,9, September ,2014
Small Business,United States of America, VTT , Medium ,808,250.00,300.00,242400.00,19392.00,223008.00,202000.00,21008.00,01/12/2013,12, December ,2013
Government,Canada, Amarilla , Medium ,708,260.00,20.00,14160.00,1132.80,13027.20,7080.00,5947.20,01/06/2014,6, June ,2014
Government,United States of America, Amarilla , Medium ,2907,260.00,7.00,20349.00,1627.92,18721.08,14535.00,4186.08,01/06/2014,6, June ,2014
Government,Germany, Amarilla , Medium ,1366,260.00,20.00,27320.00,2185.60,25134.40,13660.00,11474.40,01/06/2014,6, June ,2014
Small Business,Mexico, Amarilla , Medium ,2460,260.00,300.00,738000.00,59040.00,678960.00,615000.00,63960.00,01/06/2014,6, June ,2014
Government,Germany, Amarilla , Medium ,1520,260.00,20.00,30400.00,2432.00,27968.00,15200.00,12768.00,01/11/2014,11, November ,2014
Midmarket,Germany, Amarilla , Medium ,711,260.00,15.00,10665.00,853.20,9811.80,7110.00,2701.80,01/12/2014,12, December ,2014
Channel Partners,Mexico, Amarilla , Medium ,1375,260.00,12.00,16500.00,1320.00,15180.00,4125.00,11055.00,01/12/2013,12, December ,2013
Small Business,Mexico, Amarilla , Medium ,635,260.00,300.00,190500.00,15240.00,175260.00,158750.00,16510.00,01/12/2014,12, December ,2014
Government,United States of America, VTT , Medium ,436.5,250.00,20.00,8730.00,698.40,8031.60,4365.00,3666.60,01/07/2014,7, July ,2014
Small Business,Canada, Carretera , Medium ,1094,3.00,300.00,328200.00,29538.00,298662.00,273500.00,25162.00,01/06/2014,6, June ,2014
Channel Partners,Mexico, Carretera , Medium ,367,3.00,12.00,4404.00,396.36,4007.64,1101.00,2906.64,01/10/2013,10, October ,2013
Small Business,Canada, Montana , Medium ,3802.5,5.00,300.00,1140750.00,102667.50,1038082.50,950625.00,87457.50,01/04/2014,4, April ,2014
